[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R, Y,  ,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  , Y, R, Y,  ,  ] - 2
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  , Y, Y, R, Y,  ,  ] - 2
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  , Y, R, Y, Y,  ] - 4
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  , R, R,  ,  ,  ,  , Y, R, Y,  ,  ,  ,  , Y, Y, R, Y,  ,  ] - 1
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R, R,  ,  ,  ,  ,  , Y, R, Y,  ,  ,  , Y, R, Y, Y,  ] - 5
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  , R, R, R,  ,  ,  ,  , Y, R, Y,  ,  ,  ,  , Y, Y, R, Y, Y,  ] - 0
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R, R, R,  ,  ,  ,  , Y, R, Y,  ,  , Y, Y, R, Y, Y,  ] - 6
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  , R, R, R,  ,  ,  ,  , Y, R, Y,  ,  ,  , R, Y, Y, R, Y, Y,  ] - 0
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , R, R, R,  ,  ,  ,  , Y, R, Y,  ,  , Y, Y, R, Y, Y, R] - 6
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Y, R,  ,  ,  , Y, R, R, R,  ,  ,  , R, Y, R, Y,  ,  ,  , R, Y, Y, R, Y, Y,  ] - 0
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , R, R, R, Y,  ,  ,  , Y, R, Y, R,  , Y, Y, R, Y, Y, R] - 6
